date,home_team,score,away_team
19-08-2023,Osasuna,0 - 2,Ath Bilbao
03-09-2023,Osasuna,1 - 2,Barcelona
23-09-2023,Osasuna,0 - 0,Sevilla
28-09-2023,Osasuna,0 - 2,Ath Madrid
20-10-2023,Osasuna,2 - 0,Granada
13-08-2023,Celta,0 - 2,Osasuna
27-08-2023,Valencia,1 - 2,Osasuna
17-09-2023,Getafe,3 - 2,Osasuna
01-10-2023,Alaves,0 - 2,Osasuna
07-10-2023,Real Madrid,4 - 0,Osasuna
02-09-2023,Real Madrid,2 - 1,Getafe
17-09-2023,Real Madrid,2 - 1,Sociedad
27-09-2023,Real Madrid,2 - 0,Las Palmas
07-10-2023,Real Madrid,4 - 0,Osasuna
12-08-2023,Ath Bilbao,0 - 2,Real Madrid
19-08-2023,Almeria,1 - 3,Real Madrid
25-08-2023,Celta,0 - 1,Real Madrid
24-09-2023,Ath Madrid,3 - 1,Real Madrid
30-09-2023,Girona,0 - 3,Real Madrid
21-10-2023,Sevilla,1 - 1,Real Madrid
11-08-2023,Sevilla,1 - 2,Valencia
26-08-2023,Sevilla,1 - 2,Girona
17-09-2023,Sevilla,1 - 0,Las Palmas
26-09-2023,Sevilla,5 - 1,Almeria
07-10-2023,Sevilla,2 - 2,Vallecano
21-10-2023,Sevilla,1 - 1,Real Madrid
21-08-2023,Alaves,4 - 3,Sevilla
23-09-2023,Osasuna,0 - 0,Sevilla
29-09-2023,Barcelona,1 - 0,Sevilla
12-08-2023,Sociedad,1 - 1,Girona
19-08-2023,Sociedad,1 - 1,Celta
02-09-2023,Sociedad,5 - 3,Granada
24-09-2023,Sociedad,4 - 3,Getafe
30-09-2023,Sociedad,3 - 0,Ath Bilbao
21-10-2023,Sociedad,1 - 0,Mallorca
25-08-2023,Las Palmas,0 - 0,Sociedad
17-09-2023,Real Madrid,2 - 1,Sociedad
27-09-2023,Valencia,0 - 1,Sociedad
08-10-2023,Ath Madrid,2 - 1,Sociedad
18-08-2023,Valencia,1 - 0,Las Palmas
27-08-2023,Valencia,1 - 2,Osasuna
16-09-2023,Valencia,3 - 0,Ath Madrid
27-09-2023,Valencia,0 - 1,Sociedad
23-10-2023,Valencia,? - ?,Cadiz
11-08-2023,Sevilla,1 - 2,Valencia
02-09-2023,Alaves,1 - 0,Valencia
23-09-2023,Almeria,2 - 2,Valencia
01-10-2023,Betis,3 - 0,Valencia
07-10-2023,Mallorca,1 - 1,Valencia
28-08-2023,Vallecano,0 - 7,Ath Madrid
15-09-2023,Vallecano,2 - 0,Alaves
24-09-2023,Vallecano,1 - 1,Villarreal
30-09-2023,Vallecano,2 - 2,Mallorca
11-08-2023,Almeria,0 - 2,Vallecano
21-08-2023,Granada,0 - 2,Vallecano
02-09-2023,Betis,1 - 0,Vallecano
27-09-2023,Cadiz,0 - 0,Vallecano
07-10-2023,Sevilla,2 - 2,Vallecano
